,Maximum_Temperature,Minimun_Temperature,Average_Temperature,Rainfall,water_Discharge,Month_sin,Month_cos,Day_sin,Day_cos
75,28.7,13.0,20.85,0.0,210.9,1.0,6.123233995736766e-17,-0.2993631229733582,-0.9541392564000488
76,30.0,14.6,22.3,0.0,223.1,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822
77,30.0,15.5,22.75,0.0,350.3,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911
78,21.0,13.5,17.25,0.1,557.4,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627
79,25.5,10.4,17.95,0.0,424.9,1.0,6.123233995736766e-17,-0.8978045395707417,-0.44039415155763423
80,28.3,9.0,18.65,0.0,386.6,1.0,6.123233995736766e-17,-0.9680771188662041,-0.2506525322587213
81,29.0,11.0,20.0,0.0,394.1,1.0,6.123233995736766e-17,-0.9987165071710528,-0.05064916883871355
82,31.0,13.2,22.1,0.0,420.6,1.0,6.123233995736766e-17,-0.9884683243281114,0.15142777750457667
83,24.0,14.0,19.0,0.0,437.6,1.0,6.123233995736766e-17,-0.9377521321470804,0.3473052528448203
84,26.4,14.0,20.2,5.0,460.7,1.0,6.123233995736766e-17,-0.8486442574947509,0.5289640103269624
85,26.5,13.4,19.95,0.0,442.8,1.0,6.123233995736766e-17,-0.72479278722912,0.6889669190756865
86,29.0,12.2,20.6,0.0,428.5,1.0,6.123233995736766e-17,-0.5712682150947924,0.8207634412072763
87,32.0,12.8,22.4,0.0,414.2,1.0,6.123233995736766e-17,-0.3943558551133187,0.9189578116202306
88,34.5,14.0,24.25,0.0,511.9,1.0,6.123233995736766e-17,-0.20129852008866114,0.9795299412524943
89,32.0,15.0,23.5,0.0,732.1,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0
90,27.5,18.0,22.75,2.0,771.9,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945
91,31.0,16.0,23.5,0.5,952.7,0.8660254037844387,-0.4999999999999998,0.39435585511331855,0.9189578116202306
92,33.3,17.2,25.25,0.1,1006.0,0.8660254037844387,-0.4999999999999998,0.5712682150947923,0.8207634412072763
93,33.5,16.0,24.75,0.0,957.5,0.8660254037844387,-0.4999999999999998,0.72479278722912,0.6889669190756866
94,36.5,16.0,26.25,0.0,988.7,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624
95,30.4,16.0,23.2,0.0,969.3,0.8660254037844387,-0.4999999999999998,0.9377521321470804,0.3473052528448203
96,34.0,16.3,25.15,0.1,929.0,0.8660254037844387,-0.4999999999999998,0.9884683243281114,0.1514277775045767
97,33.5,18.5,26.0,0.0,907.0,0.8660254037844387,-0.4999999999999998,0.9987165071710528,-0.05064916883871264
98,30.1,18.4,24.25,2.0,978.9,0.8660254037844387,-0.4999999999999998,0.9680771188662043,-0.2506525322587204
99,29.8,18.7,24.25,0.1,1017.0,0.8660254037844387,-0.4999999999999998,0.8978045395707416,-0.4403941515576344
100,28.5,16.0,22.25,0.0,1020.0,0.8660254037844387,-0.4999999999999998,0.7907757369376989,-0.6121059825476626
101,30.0,15.5,22.75,0.0,959.3,0.8660254037844387,-0.4999999999999998,0.6513724827222223,-0.758758122692791
102,28.0,15.4,21.7,0.0,861.6,0.8660254037844387,-0.4999999999999998,0.48530196253108104,-0.8743466161445821
103,30.0,15.5,22.75,0.0,808.8,0.8660254037844387,-0.4999999999999998,0.29936312297335804,-0.9541392564000488
104,30.4,16.0,23.2,0.0,815.9,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895
105,30.5,17.4,23.95,0.0,884.1,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952
106,32.0,17.0,24.5,0.0,955.0,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488
107,34.5,15.5,25.0,0.0,1060.0,0.8660254037844387,-0.4999999999999998,-0.4853019625310808,-0.8743466161445822
108,29.3,19.0,24.15,0.0,1338.0,0.8660254037844387,-0.4999999999999998,-0.651372482722222,-0.7587581226927911
109,28.5,18.0,23.25,7.8,1904.0,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627
110,24.2,17.0,20.6,24.0,1598.0,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.44039415155763423
111,21.5,16.7,19.1,2.0,1430.0,0.8660254037844387,-0.4999999999999998,-0.9680771188662041,-0.2506525322587213
112,29.5,15.0,22.25,0.8,1322.0,0.8660254037844387,-0.4999999999999998,-0.9987165071710528,-0.05064916883871355
113,31.6,17.0,24.3,0.0,1221.0,0.8660254037844387,-0.4999999999999998,-0.9884683243281114,0.15142777750457667
114,32.0,19.5,25.75,0.0,1423.0,0.8660254037844387,-0.4999999999999998,-0.9377521321470804,0.3473052528448203
115,25.0,18.0,21.5,3.2,1416.0,0.8660254037844387,-0.4999999999999998,-0.8486442574947509,0.5289640103269624
116,29.5,17.0,23.25,0.1,1206.0,0.8660254037844387,-0.4999999999999998,-0.72479278722912,0.6889669190756865
117,29.0,17.0,23.0,0.0,1068.0,0.8660254037844387,-0.4999999999999998,-0.5712682150947924,0.8207634412072763
118,29.5,16.2,22.85,0.0,1068.0,0.8660254037844387,-0.4999999999999998,-0.3943558551133187,0.9189578116202306
119,30.0,15.0,22.5,0.0,1068.0,0.8660254037844387,-0.4999999999999998,-0.20129852008866114,0.9795299412524943
120,30.6,15.0,22.8,0.0,1027.0,0.49999999999999994,-0.8660254037844387,0.20129852008866006,0.9795299412524945
121,31.0,14.3,22.65,0.1,864.6,0.49999999999999994,-0.8660254037844387,0.39435585511331855,0.9189578116202306
122,35.0,16.0,25.5,0.0,869.0,0.49999999999999994,-0.8660254037844387,0.5712682150947923,0.8207634412072763
123,37.8,17.3,27.55,0.0,853.0,0.49999999999999994,-0.8660254037844387,0.72479278722912,0.6889669190756866
124,35.0,17.5,26.25,0.0,789.0,0.49999999999999994,-0.8660254037844387,0.8486442574947509,0.5289640103269624
125,35.0,21.5,28.25,0.1,848.0,0.49999999999999994,-0.8660254037844387,0.9377521321470804,0.3473052528448203
126,33.5,21.0,27.25,0.0,811.9,0.49999999999999994,-0.8660254037844387,0.9884683243281114,0.1514277775045767
127,37.0,19.6,28.3,0.0,855.9,0.49999999999999994,-0.8660254037844387,0.9987165071710528,-0.05064916883871264
128,38.4,22.9,30.65,0.0,981.1,0.49999999999999994,-0.8660254037844387,0.9680771188662043,-0.2506525322587204
129,36.0,22.4,29.2,0.0,4038.0,0.49999999999999994,-0.8660254037844387,0.8978045395707416,-0.4403941515576344
130,33.0,20.2,26.6,12.0,1144.0,0.49999999999999994,-0.8660254037844387,0.7907757369376989,-0.6121059825476626
131,32.4,19.5,25.95,0.0,1172.0,0.49999999999999994,-0.8660254037844387,0.6513724827222223,-0.758758122692791
132,33.6,16.4,25.0,4.0,1162.0,0.49999999999999994,-0.8660254037844387,0.48530196253108104,-0.8743466161445821
133,37.0,19.0,28.0,0.0,970.4,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488
134,38.0,20.0,29.0,0.0,850.0,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895
135,35.0,20.0,27.5,0.0,845.1,0.49999999999999994,-0.8660254037844387,-0.10116832198743204,-0.9948693233918952
136,34.5,21.0,27.75,1.5,861.1,0.49999999999999994,-0.8660254037844387,-0.2993631229733582,-0.9541392564000488
137,33.5,21.0,27.25,1.0,1025.0,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822
138,37.3,20.0,28.65,0.0,1151.0,0.49999999999999994,-0.8660254037844387,-0.651372482722222,-0.7587581226927911
139,37.0,22.0,29.5,0.0,1063.0,0.49999999999999994,-0.8660254037844387,-0.7907757369376986,-0.6121059825476627
140,34.7,18.5,26.6,1.0,1084.0,0.49999999999999994,-0.8660254037844387,-0.8978045395707417,-0.44039415155763423
141,37.0,20.0,28.5,0.0,1050.0,0.49999999999999994,-0.8660254037844387,-0.9680771188662041,-0.2506525322587213
142,37.5,21.8,29.65,0.1,847.4,0.49999999999999994,-0.8660254037844387,-0.9987165071710528,-0.05064916883871355
143,37.3,20.5,28.9,0.0,814.6,0.49999999999999994,-0.8660254037844387,-0.9884683243281114,0.15142777750457667
144,36.0,25.0,30.5,0.0,821.3,0.49999999999999994,-0.8660254037844387,-0.9377521321470804,0.3473052528448203
145,34.3,17.5,25.9,12.0,995.1,0.49999999999999994,-0.8660254037844387,-0.8486442574947509,0.5289640103269624
146,39.0,21.0,30.0,0.0,1229.0,0.49999999999999994,-0.8660254037844387,-0.72479278722912,0.6889669190756865
147,41.0,21.0,31.0,0.0,1024.0,0.49999999999999994,-0.8660254037844387,-0.5712682150947924,0.8207634412072763
148,41.5,21.0,31.25,0.0,933.0,0.49999999999999994,-0.8660254037844387,-0.3943558551133187,0.9189578116202306
149,42.3,22.5,32.4,0.0,1128.0,0.49999999999999994,-0.8660254037844387,-0.20129852008866114,0.9795299412524943
150,43.0,26.0,34.5,0.1,1372.0,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0
151,41.7,26.5,34.1,0.0,1569.0,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945
152,43.0,22.7,32.85,0.0,1467.0,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306
153,42.8,22.6,32.7,0.0,1547.0,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763
154,44.5,27.5,36.0,0.0,1652.0,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866
155,41.7,25.0,33.35,0.0,1713.0,1.2246467991473532e-16,-1.0,0.8486442574947509,0.5289640103269624
156,36.5,23.0,29.75,0.1,1759.0,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203
157,35.0,24.0,29.5,0.0,1659.0,1.2246467991473532e-16,-1.0,0.9884683243281114,0.1514277775045767
158,37.2,22.9,30.05,0.0,1483.0,1.2246467991473532e-16,-1.0,0.9987165071710528,-0.05064916883871264
159,39.5,23.5,31.5,0.0,1381.0,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204
160,40.4,22.5,31.45,0.0,1488.0,1.2246467991473532e-16,-1.0,0.8978045395707416,-0.4403941515576344
161,38.0,23.0,30.5,0.0,1602.0,1.2246467991473532e-16,-1.0,0.7907757369376989,-0.6121059825476626
162,37.5,21.5,29.5,0.0,1657.0,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.758758122692791
163,40.5,20.8,30.65,4.0,1555.0,1.2246467991473532e-16,-1.0,0.48530196253108104,-0.8743466161445821
164,42.0,23.0,32.5,0.0,1543.0,1.2246467991473532e-16,-1.0,0.29936312297335804,-0.9541392564000488
165,41.5,23.0,32.25,0.0,1621.0,1.2246467991473532e-16,-1.0,0.10116832198743272,-0.994869323391895
166,43.5,22.5,33.0,0.0,1785.0,1.2246467991473532e-16,-1.0,-0.10116832198743204,-0.9948693233918952
167,42.5,23.4,32.95,1.5,1932.0,1.2246467991473532e-16,-1.0,-0.2993631229733582,-0.9541392564000488
168,35.2,26.5,30.85,1.0,1820.0,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822
169,41.5,23.0,32.25,0.0,1765.0,1.2246467991473532e-16,-1.0,-0.651372482722222,-0.7587581226927911
170,42.7,24.0,33.35,0.0,1691.0,1.2246467991473532e-16,-1.0,-0.7907757369376986,-0.6121059825476627
171,44.6,26.0,35.3,1.0,1698.0,1.2246467991473532e-16,-1.0,-0.8978045395707417,-0.44039415155763423
172,44.0,28.0,36.0,0.0,1737.0,1.2246467991473532e-16,-1.0,-0.9680771188662041,-0.2506525322587213
173,42.0,27.8,34.9,0.0,1891.0,1.2246467991473532e-16,-1.0,-0.9987165071710528,-0.05064916883871355
174,40.5,25.5,33.0,0.0,1966.0,1.2246467991473532e-16,-1.0,-0.9884683243281114,0.15142777750457667
175,39.7,25.0,32.35,0.0,2040.0,1.2246467991473532e-16,-1.0,-0.9377521321470804,0.3473052528448203
176,40.0,24.6,32.3,0.0,1944.0,1.2246467991473532e-16,-1.0,-0.8486442574947509,0.5289640103269624
177,41.0,24.7,32.85,0.0,1813.0,1.2246467991473532e-16,-1.0,-0.72479278722912,0.6889669190756865
178,39.2,25.1,32.150000000000006,0.0,1740.0,1.2246467991473532e-16,-1.0,-0.5712682150947924,0.8207634412072763
179,42.2,23.8,33.0,0.0,1740.0,1.2246467991473532e-16,-1.0,-0.3943558551133187,0.9189578116202306
180,43.0,24.5,33.75,0.0,1774.0,1.2246467991473532e-16,-1.0,-0.20129852008866114,0.9795299412524943
181,43.5,25.0,34.25,0.0,1923.0,-0.4999999999999997,-0.8660254037844388,0.20129852008866006,0.9795299412524945
182,44.2,26.0,35.1,0.0,2022.0,-0.4999999999999997,-0.8660254037844388,0.39435585511331855,0.9189578116202306
183,43.5,26.0,34.75,0.0,2102.0,-0.4999999999999997,-0.8660254037844388,0.5712682150947923,0.8207634412072763
184,43.0,28.0,35.5,0.0,2222.0,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866
185,39.3,28.5,33.9,0.0,2387.0,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624
186,41.5,29.0,35.25,0.0,2438.0,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203
187,38.5,27.5,33.0,0.0,2463.0,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767
188,35.9,25.5,30.7,0.1,2386.0,-0.4999999999999997,-0.8660254037844388,0.9987165071710528,-0.05064916883871264
189,40.0,26.0,33.0,0.0,2252.0,-0.4999999999999997,-0.8660254037844388,0.9680771188662043,-0.2506525322587204
190,41.5,28.0,34.75,0.0,2101.0,-0.4999999999999997,-0.8660254037844388,0.8978045395707416,-0.4403941515576344
191,37.3,27.5,32.4,0.0,2123.0,-0.4999999999999997,-0.8660254037844388,0.7907757369376989,-0.6121059825476626
192,36.5,25.5,31.0,0.0,2156.0,-0.4999999999999997,-0.8660254037844388,0.6513724827222223,-0.758758122692791
193,36.6,26.0,31.3,0.0,2089.0,-0.4999999999999997,-0.8660254037844388,0.48530196253108104,-0.8743466161445821
194,37.8,26.6,32.2,0.0,1982.0,-0.4999999999999997,-0.8660254037844388,0.29936312297335804,-0.9541392564000488
195,35.8,23.6,29.7,0.1,1811.0,-0.4999999999999997,-0.8660254037844388,0.10116832198743272,-0.994869323391895
196,37.7,24.0,30.85,0.0,1801.0,-0.4999999999999997,-0.8660254037844388,-0.10116832198743204,-0.9948693233918952
197,39.5,26.5,33.0,0.0,1726.0,-0.4999999999999997,-0.8660254037844388,-0.2993631229733582,-0.9541392564000488
198,40.0,27.0,33.5,0.1,1605.0,-0.4999999999999997,-0.8660254037844388,-0.4853019625310808,-0.8743466161445822
199,39.5,25.0,32.25,0.0,1497.0,-0.4999999999999997,-0.8660254037844388,-0.651372482722222,-0.7587581226927911
200,40.7,26.0,33.35,0.0,1351.0,-0.4999999999999997,-0.8660254037844388,-0.7907757369376986,-0.6121059825476627
201,39.2,26.4,32.8,0.0,1302.0,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423
202,40.8,26.5,33.65,0.0,1292.0,-0.4999999999999997,-0.8660254037844388,-0.9680771188662041,-0.2506525322587213
203,42.0,27.3,34.65,0.0,1364.0,-0.4999999999999997,-0.8660254037844388,-0.9987165071710528,-0.05064916883871355
204,41.8,27.4,34.599999999999994,0.0,1423.0,-0.4999999999999997,-0.8660254037844388,-0.9884683243281114,0.15142777750457667
205,36.0,28.5,32.25,0.0,1454.0,-0.4999999999999997,-0.8660254037844388,-0.9377521321470804,0.3473052528448203
206,37.0,27.0,32.0,0.0,1368.0,-0.4999999999999997,-0.8660254037844388,-0.8486442574947509,0.5289640103269624
207,41.0,24.5,32.75,0.0,1162.0,-0.4999999999999997,-0.8660254037844388,-0.72479278722912,0.6889669190756865
208,41.6,25.7,33.65,0.0,1185.0,-0.4999999999999997,-0.8660254037844388,-0.5712682150947924,0.8207634412072763
209,41.2,26.9,34.05,0.0,1180.0,-0.4999999999999997,-0.8660254037844388,-0.3943558551133187,0.9189578116202306
210,41.0,28.7,34.85,0.0,1180.0,-0.4999999999999997,-0.8660254037844388,-0.20129852008866114,0.9795299412524943
211,37.0,27.3,32.15,0.0,1330.0,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0
212,39.3,28.0,33.65,0.0,1292.0,-0.8660254037844385,-0.5000000000000004,0.20129852008866006,0.9795299412524945
213,38.9,29.0,33.95,0.0,1350.0,-0.8660254037844385,-0.5000000000000004,0.39435585511331855,0.9189578116202306
214,41.0,29.5,35.25,0.0,1449.0,-0.8660254037844385,-0.5000000000000004,0.5712682150947923,0.8207634412072763
215,33.0,24.8,28.9,0.1,1524.0,-0.8660254037844385,-0.5000000000000004,0.72479278722912,0.6889669190756866
216,34.7,24.7,29.700000000000003,0.0,1484.0,-0.8660254037844385,-0.5000000000000004,0.8486442574947509,0.5289640103269624
217,38.0,24.5,31.25,0.0,1254.0,-0.8660254037844385,-0.5000000000000004,0.9377521321470804,0.3473052528448203
218,40.0,25.6,32.8,0.0,1055.0,-0.8660254037844385,-0.5000000000000004,0.9884683243281114,0.1514277775045767
219,40.0,27.2,33.6,0.0,998.5,-0.8660254037844385,-0.5000000000000004,0.9987165071710528,-0.05064916883871264
220,38.5,28.5,33.5,0.0,937.4,-0.8660254037844385,-0.5000000000000004,0.9680771188662043,-0.2506525322587204
221,36.2,24.0,30.1,0.0,933.7,-0.8660254037844385,-0.5000000000000004,0.8978045395707416,-0.4403941515576344
222,37.2,25.0,31.1,0.1,973.5,-0.8660254037844385,-0.5000000000000004,0.7907757369376989,-0.6121059825476626
223,39.0,25.0,32.0,0.0,938.6,-0.8660254037844385,-0.5000000000000004,0.6513724827222223,-0.758758122692791
224,38.0,23.2,30.6,6.0,893.3,-0.8660254037844385,-0.5000000000000004,0.48530196253108104,-0.8743466161445821
225,37.5,25.5,31.5,0.0,812.1,-0.8660254037844385,-0.5000000000000004,0.29936312297335804,-0.9541392564000488
226,36.3,26.5,31.4,0.0,755.7,-0.8660254037844385,-0.5000000000000004,0.10116832198743272,-0.994869323391895
227,36.0,25.8,30.9,0.1,747.9,-0.8660254037844385,-0.5000000000000004,-0.10116832198743204,-0.9948693233918952
228,38.6,27.0,32.8,0.1,773.7,-0.8660254037844385,-0.5000000000000004,-0.2993631229733582,-0.9541392564000488
229,40.0,26.7,33.35,0.0,805.0,-0.8660254037844385,-0.5000000000000004,-0.4853019625310808,-0.8743466161445822
230,39.5,27.0,33.25,0.0,842.7,-0.8660254037844385,-0.5000000000000004,-0.651372482722222,-0.7587581226927911
231,39.0,27.8,33.4,0.0,941.6,-0.8660254037844385,-0.5000000000000004,-0.7907757369376986,-0.6121059825476627
